"Pais","gastosocial","Estabilidad Política","Electoral","Politcial Participation","Politicalculture","Civilliberties","Impuestos","Inversión","Variación","PBIpc","Eficiencia","CalidadReg","ControlCorr","Participacion","Desem","HDI","POB"
"New Zealand",36.67,1.541482,10,8.89,8.13,10,29.1082754066876,23.1148652388068,3.16309750171506,0.996067751736391,1.67090368270874,1.88090658187866,2.17007064819336,0.9881,NA,NA,NA
"Nicaragua",27.3,-0.8013505,1.25,3.89,5.63,4.12,48.0696753764641,26.7613691223327,4.63138368138509,3.30595171095914,-0.770874381065369,-0.689058125019073,-1.12184369564056,0.5238,4.7,0.651,24.9
"Niger",26.81,-1.260566,2.92,3.33,4.38,4.71,NA,NA,NA,NA,-0.801061689853668,-0.668704450130463,-0.554166257381439,0.2976,0.515,0.377,44.5
"Nigeria",13.04,-2.1927,5.17,3.33,3.75,4.41,NA,NA,NA,NA,-1.08863353729248,-0.860985159873962,-1.0949479341507,0.4881,4.311,0.534,46
"North Macedonia",30.29,-0.1966761,7,6.67,3.75,7.06,43.3471421842151,22.557943135967,1.08177273813243,1.02103616721902,-0.0024857537355274,0.508784472942352,-0.409463703632355,0.8333,26.068,0.759,22.2
"Norway",51.8,1.153804,10,10,10,9.71,26.8635624061373,24.5612193062898,2.3232584068849,1.50014937986147,1.86229157447815,1.80405461788177,2.07346820831299,0.9048,NA,NA,NA
"Pakistan",21.63,-2.267435,6.08,2.22,2.5,4.71,NA,NA,NA,NA,-0.67700469493866,-0.644478917121887,-0.846740663051605,0.5238,3.566,0.56,3.9
"Panama",21.73,0.2771547,9.58,6.67,5,7.94,NA,NA,NA,NA,0.065540187060833,0.361896961927414,-0.579923987388611,0.5833,3.002,0.795,22.1
"Papua New Guinea",22.88,-0.6669981,6.92,3.89,5.63,7.65,NA,NA,NA,NA,-0.808679044246674,-0.542546391487122,-0.99163818359375,0.2143,2.573,0.543,39.9
"Paraguay",19.03,-0.1192975,8.75,5,4.38,7.35,36.0973562748898,19.1864486304479,4.95805142159847,3.59484709836791,-0.533756673336029,-0.20345801115036,-0.829310238361359,0.75,4.556,0.724,26.4
"Peru",21.41,-0.2593005,9.17,5.56,5.63,7.65,35.3430522959468,20.607596923788,2.51883544233135,0.829119680820753,-0.067545659840107,0.563906133174896,-0.447690784931183,0.7619,3,0.759,21.7
"Philippines",21.77,-1.121844,9.17,7.22,4.38,7.06,26.9562241814407,25.6429281897435,6.93098832586378,5.39642629946519,0.0529681704938412,0.00930815935134888,-0.573345541954041,0.75,3.068,0.712,21.6
"Poland",42,0.5450124,9.17,6.11,4.38,7.35,36.809539897569,17.5300889586604,4.93766324502775,4.92456773838559,0.601629197597504,1.0141236782074,0.602715015411377,0.9643,7.501,0.872,15
"Portugal",42.7,1.140031,9.58,6.11,7.5,9.12,33.0433243689928,16.7839761535773,3.506343238044,3.75909233711131,1.15400540828705,0.969747006893158,0.763995349407196,0.8214,NA,NA,NA
"Romania",36,0.0593082,9.17,5.56,4.38,7.65,33.8730815532395,22.4082251490478,7.11144063254122,7.74018264379484,-0.281243801116943,0.462053596973419,-0.128240466117859,0.8095,6.812,0.816,23.6
"Rwanda",26.73,0.1159507,1.42,2.78,4.38,2.94,28.4996506797033,22.7136710424975,3.98678675464326,1.27779563858341,0.185022681951523,0.0773843005299568,0.564346015453339,0.631,1.143,0.536,38.2
"Saudi Arabia",36.58,-0.5181113,0,2.22,3.13,1.47,5.46903018661023,24.4842685417617,-0.741502652864284,-2.71045514265793,0.306444883346558,-0.0681948512792587,0.274639338254929,0.7143,NA,NA,NA
"Senegal",22.21,-0.0886327,6.08,4.44,6.25,6.18,35.293046407578,25.8256617810862,7.4074861863013,4.44110250235867,-0.0573693849146366,-0.112239763140678,0.0484844334423542,0.4405,6.757,0.514,46.7
"Serbia",40.8,0.0824774,8.25,6.11,5,7.35,NA,NA,NA,NA,0.0190787352621555,0.113867104053497,-0.445551484823227,0.8214,17.66,0.799,25.7
"Sierra Leone",21.52,-0.0298916,6.58,3.33,6.25,5.29,NA,NA,NA,NA,-1.12659513950348,-0.881993651390076,-0.411361068487167,0.3929,4.637,0.438,52.9
"Singapore",14.62,1.510339,3.92,5,6.25,7.06,19.7846022553015,25.4312677684735,4.33660491918172,4.24420834931072,2.22108602523804,2.16137671470642,2.15947651863098,0.9762,NA,NA,NA
"Slovenia",43.7,0.9109183,9.58,6.67,6.25,8.24,35.8887037612349,18.3187331683505,4.83338291255968,4.76509673716556,1.08140444755554,1.00883948802948,0.905898690223694,0.8571,8.962,0.902,14.3
"South Africa",33.44,-0.2766732,7.42,8.33,5,7.94,32.8172313420919,18.7645465995098,1.41451262585058,-0.00313895407710163,0.367380231618881,0.156171724200249,0.0849238559603691,0.75,25.156,0.705,55.5
"Spain",41.9,0.2548025,9.58,7.78,8.13,8.82,48.3214044010582,18.6627167396233,2.8917681073267,2.65067933874772,0.99904465675354,1.05018973350525,0.646796107292175,0.8452,NA,NA,NA
